,2014_1,2014_2,2014_3,2015_1,2015_2,2015_3,2016_1,2016_2,2016_3,2017_1,2017_2,2017_3,2018_1,2018_2,2018_3,Alt,Flow,Bank_veg,WoR
Triveni ghat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,2,2,25
Ghat 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,1,2,50
Ghat 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1,2,50
Ramjhula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,2,55
Phoolchatti main river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,2,2,15
Phoolchatti side stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,3,2,3
Shivpuri (main river),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,3,2,20
Shivpuri (side stream),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,3,2,5
Agastya muni Gufa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,2,30
Gular side stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,2,2,3
Bhingni (glass house),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,1,2,35
Devprayag (sangam),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,1,2,30
Devprayag trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,2,2,20
Chakha Village (side stream),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,2,2,5
Beyond Tehri (backwater 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,2,25
Beyond Tehri (backwater 2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,2,25
Tehri dam vicinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,2,60
Chiniyali saud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,2,220
Dharasu Bend (main river),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,3,2,15
Dharasu Bend (side stream),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,876,3,2,3
Dunda,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,966,3,2,20
Before Uttarkashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,2,2,20
Joshiyara (Uttarkashi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,1,2,35
Asiganga site 1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1276,3,2,10
Asiganga site 2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1345,3,2,10
Sangam Chatti,2,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1567,3,2,12
Broken bridge,1,2,1,0,2,2,1,2,2,1,0,1,1,2,2,1346,3,2,20
Naluna,2,2,2,1,2,1,3,2,2,1,1,0,1,0,1,1455,3,2,20
Netala,0,0,1,0,1,1,1,1,2,0,1,0,0,0,1,1312,2,2,20
Maneri dam (backwater),0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1339,3,2,10
Maneri side stream,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1347,0,2,40
Beyond Maneri (opp pine pathch),1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1456,3,2,25
Jamak side stream,2,2,1,1,1,0,3,2,2,1,2,1,1,2,1,1645,2,2,15
Bhatwari,1,1,1,2,0,1,2,2,0,1,1,0,1,1,1,1356,3,2,15
bridge to oak patch,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1734,3,2,15
Bridge to alnus patch,1,1,0,1,1,0,2,2,1,1,1,0,1,0,1,1856,3,2,10
Gangnani,1,1,0,2,2,1,1,2,1,1,1,1,1,1,1,1987,2,2,10
Jhala village,0,0,1,0,0,0,2,1,0,0,1,1,0,1,1,2346,1,2,10
Bogory (main river),1,1,1,1,2,2,3,2,1,1,1,1,1,1,1,2505,3,2,20
Harsil Side stream cantonment,0,1,0,2,1,1,2,1,1,0,1,1,0,1,0,2501,3,2,5
Harsil Side stream before village ,1,2,1,1,2,2,2,2,2,1,1,0,1,2,1,2502,3,2,5
Dharali,0,1,1,1,1,0,3,2,1,0,1,0,0,1,1,2738,2,2,25
Gangotri,1,1,1,2,2,1,3,2,1,1,2,1,1,0,1,3118,3,2,15
